"","Dim.1","Dim.2","nome","partido","uf.x","id_dep","condicao","matricula","idParlamentar","nome.y","nomeParlamentar","urlFoto","sexo","uf.y","partido.y","gabinete","fone","email","none","destaque","destaque_ministros","destaque_conselho_etica","destaque_bancada_bala","destaque_cabeca","destaque_bancada_humanista","destaque_bancada_evangelica","destaque_bancada_ruralista","destaque_bancada_sindical","destaque_cassacao","destaque_pb","destaque_partido","destaque_cassacao_partido","destaque_conselho_etica_partido","destaque_cassacao_pt","destaque_cunha"
"1",0.0471786839659939,0.0161291691089788,"Abel Mesquita Jr.","pdt","RR",178957,"Titular",1,5830756,"ABEL SALVADOR MESQUITA JUNIOR","ABEL MESQUITA JR.","http://www.camara.gov.br/internet/deputado/bandep/178957.jpg","masculino","RR","PDT",248,"3215-5248","dep.abelmesquitajr@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram","não participam","outros partidos",FALSE
"2",-0.202673764975591,-0.258632614294458,"Adail Carneiro","phs","CE",178864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram","não participam","outros partidos",FALSE
"3",-0.0348410921079895,-0.158269609793069,"Adalberto Cavalcanti","ptb","PE",178914,"Titular",138,5830364,"ADALBERTO CAVALCANTI RODRIGUES","ADALBERTO CAVALCANTI","http://www.camara.gov.br/internet/deputado/bandep/178914.jpg","masculino","PE","PTB",402,"3215-5402","dep.adalbertocavalcanti@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram","não participam","outros partidos",FALSE
"4",-0.668462899349241,0.418477527273823,"Adelmo Carneiro Leão","pt","MG",178890,"Suplente",221,5830314,"ADELMO CARNEIRO LEAO","ADELMO CARNEIRO LEÃO","http://www.camara.gov.br/internet/deputado/bandep/178890.jpg","masculino","MG","PT",231,"3215-5231","dep.adelmocarneiroleao@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Demais estados","pt","pt","não participam","assinaram",FALSE
"5",0.220629123710547,-0.0861838667214015,"Adelson Barreto","ptb","SE",178968,"Titular",175,5830370,"ADELSON BARRETO DOS SANTOS","ADELSON BARRETO","http://www.camara.gov.br/internet/deputado/bandep/178968.jpg","masculino","SE","PTB",937,"3215-5937","dep.adelsonbarreto@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram","não participam","outros partidos",FALSE
"6",0.168522399775677,0.0909428608867591,"Ademir Camilo","pros","MG",133374,"Suplente",520,5830803,"ADEMIR CAMILO PRATES RODRIGUES","ADEMIR CAMILO","http://www.camara.gov.br/internet/deputado/bandep/133374.jpg","masculino","MG","PROS",804,"3215-5804","dep.ademircamilo@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram","não participam","outros partidos",FALSE
"7",0.383935913550746,-0.0389980922741161,"Adilton Sachetti","psb","MT",178903,"Titular",401,5830628,"ADILTON DOMINGOS SACHETTI","ADILTON SACHETTI","http://www.camara.gov.br/internet/deputado/bandep/178903.jpg","masculino","MT","PSB",374,"3215-5374","dep.adiltonsachetti@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","outros","não assinaram","não participam","outros partidos",FALSE
"8",-0.361298547507489,-0.317553185244115,"Aelton Freitas","pr","MG",141372,"Titular",224,5830322,"AELTON JOSÉ DE FREITAS","AELTON FREITAS","http://www.camara.gov.br/internet/deputado/bandep/141372.jpg","masculino","MG","PR",204,"3215-5204","dep.aeltonfreitas@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","outros","não assinaram","não participam","outros partidos",FALSE
"9",-0.685955317233901,0.369849403852297,"Afonso Florence","pt","BA",160508,"Titular",182,5830319,"AFONSO BANDEIRA FLORENCE","AFONSO FLORENCE","http://www.camara.gov.br/internet/deputado/bandep/160508.jpg","masculino","BA","PT",305,"3215-5305","dep.afonsoflorence@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Demais estados","pt","pt","não participam","assinaram",FALSE
"10",0.492091788867966,0.0855505863009068,"Afonso Hamm","pp","RS",136811,"Titular",487,5830647,"JOSÉ ALFONSO EBERT HAMM","AFONSO HAMM","http://www.camara.gov.br/internet/deputado/bandep/136811.jpg","masculino","RS","PP",604,"3215-5604","dep.afonsohamm@camara.gov.br",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","outros","não assinaram","não participam","outros partidos",FALSE
