"","Dim.1","Dim.2","nome.x","partido.x","uf.x","id_dep","condicao","matricula","idParlamentar","nome.y","nomeParlamentar","urlFoto","sexo","uf.y","partido.y","gabinete","fone","email","none","destaque","destaque_ministros","destaque_bancada_bala","destaque_bancada_humanista","destaque_bancada_evangelica","destaque_bancada_ruralista","destaque_bancada_sindical","destaque_cassacao","destaque_pb","destaque_partido","destaque_cassacao_partido","destaque_cunha"
"1",0.0497430063894235,0.0131097684393171,"Abel Mesquita Jr.","pdt","RR",178957,"Titular",1,5830756,"ABEL SALVADOR MESQUITA JUNIOR","ABEL MESQUITA JR.","http://www.camara.gov.br/internet/deputado/bandep/178957.jpg","masculino","RR","PDT",248,"3215-5248","dep.abelmesquitajr@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"2",-0.203342626761303,-0.261504622967669,"Adail Carneiro","phs","CE",178864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"3",-0.0340137179616353,-0.160015839167051,"Adalberto Cavalcanti","ptb","PE",178914,"Titular",138,5830364,"ADALBERTO CAVALCANTI RODRIGUES","ADALBERTO CAVALCANTI","http://www.camara.gov.br/internet/deputado/bandep/178914.jpg","masculino","PE","PTB",402,"3215-5402","dep.adalbertocavalcanti@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"4",-0.675101505519941,0.42528530980426,"Adelmo Carneiro Leão","pt","MG",178890,"Suplente",221,5830314,"ADELMO CARNEIRO LEAO","ADELMO CARNEIRO LEÃO","http://www.camara.gov.br/internet/deputado/bandep/178890.jpg","masculino","MG","PT",231,"3215-5231","dep.adelmocarneiroleao@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Demais estados","pt","pt",FALSE
"5",0.228970235468478,-0.0848062944146313,"Adelson Barreto","ptb","SE",178968,"Titular",175,5830370,"ADELSON BARRETO DOS SANTOS","ADELSON BARRETO","http://www.camara.gov.br/internet/deputado/bandep/178968.jpg","masculino","SE","PTB",937,"3215-5937","dep.adelsonbarreto@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"6",0.174417536949229,0.0941284946395998,"Ademir Camilo","s.part.","MG",133374,"Suplente",520,5830803,"ADEMIR CAMILO PRATES RODRIGUES","ADEMIR CAMILO","http://www.camara.gov.br/internet/deputado/bandep/133374.jpg","masculino","MG","PROS",804,"3215-5804","dep.ademircamilo@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"7",0.393048734281834,-0.0368680720819327,"Adilton Sachetti","psb","MT",178903,"Titular",401,5830628,"ADILTON DOMINGOS SACHETTI","ADILTON SACHETTI","http://www.camara.gov.br/internet/deputado/bandep/178903.jpg","masculino","MT","PSB",374,"3215-5374","dep.adiltonsachetti@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"8",-0.363014830524194,-0.320673196966933,"Aelton Freitas","pr","MG",141372,"Titular",224,5830322,"AELTON JOSÉ DE FREITAS","AELTON FREITAS","http://www.camara.gov.br/internet/deputado/bandep/141372.jpg","masculino","MG","PR",204,"3215-5204","dep.aeltonfreitas@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"9",-0.693344796290262,0.375332892472143,"Afonso Florence","pt","BA",160508,"Titular",182,5830319,"AFONSO BANDEIRA FLORENCE","AFONSO FLORENCE","http://www.camara.gov.br/internet/deputado/bandep/160508.jpg","masculino","BA","PT",305,"3215-5305","dep.afonsoflorence@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Demais estados","pt","pt",FALSE
"10",0.498332052570197,0.0864602218379706,"Afonso Hamm","pp","RS",136811,"Titular",487,5830647,"JOSÉ ALFONSO EBERT HAMM","AFONSO HAMM","http://www.camara.gov.br/internet/deputado/bandep/136811.jpg","masculino","RS","PP",604,"3215-5604","dep.afonsohamm@camara.gov.br",NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"11",-0.248657891131748,0.0646720356460434,"Afonso Motta","pdt","RS",178835,"Titular",490,5830619,"AFONSO ANTUNES DA MOTTA","AFONSO MOTTA","http://www.camara.gov.br/internet/deputado/bandep/178835.jpg","masculino","RS","PDT",711,"3215-5711","dep.afonsomotta@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"12",-0.394509638279792,-0.130115458533442,"Aguinaldo Ribeiro","pp","PB",160527,"Titular",129,5830568,"AGUINALDO VELLOSO BORGES RIBEIRO","AGUINALDO RIBEIRO","http://www.camara.gov.br/internet/deputado/bandep/160527.jpg","masculino","PB","PP",735,"3215-5735","dep.aguinaldoribeiro@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"PB","outros","não assinaram",FALSE
"13",-0.0731831469377232,-0.0568801076135216,"Alan Rick","prb","AC",178836,"Titular",53,5830326,"ALAN RICK MIRANDA","ALAN RICK","http://www.camara.gov.br/internet/deputado/bandep/178836.jpg","masculino","AC","PRB",650,"3215-5650","dep.alanrick@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"14",-0.130333854458256,-0.294521251499724,"Alberto Filho","pmdb","MA",160582,"Titular",548,5830840,"JOSÉ ALBERTO OLIVEIRA VELOSO FILHO","ALBERTO FILHO","http://www.camara.gov.br/internet/deputado/bandep/160582.jpg","masculino","MA","PMDB",350,"3215-5350","dep.albertofilho@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Demais estados","pmdb","não assinaram",FALSE
"15",0.731911444910021,0.0118425740299961,"Alberto Fraga","dem","DF",73579,"Titular",410,5830472,"JOÃO ALBERTO FRAGA SILVA","ALBERTO FRAGA","http://www.camara.gov.br/internet/deputado/bandep/73579.jpg","masculino","DF","DEM",511,"3215-5511","dep.albertofraga@camara.gov.br",NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","outros","não assinaram",FALSE
"16",0.298705836609983,-0.127579982006425,"Alceu Moreira","pmdb","RS",160559,"Titular",486,5830689,"ALCEU MOREIRA DA SILVA","ALCEU MOREIRA","http://www.camara.gov.br/internet/deputado/bandep/160559.jpg","masculino","RS","PMDB",238,"3215-5238","dep.alceumoreira@camara.gov.br",NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","pmdb","não assinaram",FALSE
"17",-0.541540035789708,0.58884409224909,"Alessandro Molon","s.part.","RJ",160511,"Titular",287,5830329,"ALESSANDRO LUCCIOLA MOLON","ALESSANDRO MOLON","http://www.camara.gov.br/internet/deputado/bandep/160511.jpg","masculino","RJ","REDE",652,"3215-5652","dep.alessandromolon@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Demais estados","outros","outros",FALSE
"18",0.412035375924715,0.0255806030147854,"Alexandre Baldy","psdb","GO",178875,"Titular",416,5830373,"ALEXANDRE BALDY DE SANT'ANNA BRAGA","ALEXANDRE BALDY","http://www.camara.gov.br/internet/deputado/bandep/178875.jpg","masculino","GO","PSDB",441,"3215-5441","dep.alexandrebaldy@camara.gov.br",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Demais estados","psdb","não assinaram",FALSE
