Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Lázaro Botelho,PP        ,TO,Não            ,141480,Minoria,Não            
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Sérgio Brito,PSD       ,BA,Não            ,73808,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Osmar Serraglio,PMDB      ,PR,Não            ,73463,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Bruno Araújo,PSDB      ,PE,Não            ,141394,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Capitão Fábio Abreu,PTB       ,PI,Não            ,178924,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Cacá Leão,PP        ,BA,Não            ,93083,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Dimas Fabiano,PP        ,MG,Não            ,160599,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Chico D Angelo,PT        ,RJ,Não            ,141439,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Hélio Leite,DEM       ,PA,Não            ,178909,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Maria do Rosário,PT        ,RS,Não            ,74398,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Odorico Monteiro,PT        ,CE,Não            ,178868,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Carlos Gomes,PRB       ,RS,Não            ,178962,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Wolney Queiroz,PDT       ,PE,Não            ,74439,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Fabiano Horta,PT        ,RJ,Não            ,146829,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Rubens Pereira Júnior,PCdoB     ,MA,Não            ,178887,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Ricardo Tripoli,PSDB      ,SP,Não            ,141472,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Jozi Rocha,PTB       ,AP,Não            ,178851,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Dr. Jorge Silva,PROS      ,ES,Sim            ,160643,-,-
2007,2211,PL,25/2/2015,20:38,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,5452,Roney Nemer,PMDB      ,DF,Não            ,178870,-,-
