tipo,num_pro,ano,id_votacao,resumo,data,hora,objetivo,sessao,partido,orientacao_partido
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PpPtbPscPhs,sim
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PmdbPen,sim
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PT,liberado
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PSDB,sim
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PrbPtnPmnPrpPsdcPtcPslPtdoB,sim
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PR,liberado
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PSD,sim
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PSB,liberado
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,DEM,sim
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PDT,sim
