codProposicao,dataVotacao,nomeProposicao
20794,22/03/2017,PL 4302/1998
20794,22/03/2017,PL 4302/1998
20794,22/03/2017,PL 4302/1998
20794,22/03/2017,PL 4302/1998
117975,16/08/2017,PEC 77/2003
117975,16/08/2017,PEC 77/2003
117975,23/08/2017,PEC 77/2003
117975,23/08/2017,PEC 77/2003
117975,23/08/2017,PEC 77/2003
553947,15/03/2017,PEC 209/2012
611966,15/03/2017,PEC 395/2014
611966,29/03/2017,PEC 395/2014
1203158,24/05/2017,PLP 54/2015
1203158,31/05/2017,PLP 54/2015
1203158,31/05/2017,PLP 54/2015
1734739,08/02/2017,PLP 163/2015
2024315,16/08/2017,PL 3376/2015
2077499,07/02/2017,REQ 3970/2016 => PL 4424/2016
2080373,07/06/2017,PEC 199/2016
2088280,04/04/2017,PL 5587/2016
2088280,04/04/2017,PL 5587/2016
2091285,08/02/2017,REQ 4881/2016 => PL 2542/2015
2093451,08/02/2017,REQ 5022/2016 => PRC 159/2016
2110703,08/02/2017,MSC 471/2016 => MSC 463/2013 => PL 6646/2013
2112586,21/02/2017,MPV 747/2016 
2112586,21/02/2017,MPV 747/2016 
2116221,14/03/2017,REQ 5468/2016 => PLP 54/2015
2116870,28/03/2017,MPV 751/2016 
2118402,15/02/2017,PL 6568/2016
2118464,27/04/2017,MPV 752/2016
2118464,02/05/2017,MPV 752/2016
2118464,02/05/2017,MPV 752/2016
2118464,02/05/2017,MPV 752/2016
2120382,15/02/2017,REQ 5679/2016 => PL 5850/2016
2121837,17/05/2017,MPV 755/2016 
2121839,16/05/2017,MPV 756/2016 
2121839,16/05/2017,MPV 756/2016 
2121839,16/05/2017,MPV 756/2016 
2121839,16/05/2017,MPV 756/2016 
2121839,16/05/2017,MPV 756/2016 
2121839,16/05/2017,MPV 756/2016 
2121839,16/05/2017,MPV 756/2016 
2121843,15/05/2017,MPV 757/2016 
2121849,16/05/2017,MPV 758/2016 
2121849,16/05/2017,MPV 758/2016 
2121849,16/05/2017,MPV 758/2016 
2121849,16/05/2017,MPV 758/2016 
2121849,16/05/2017,MPV 758/2016 
2121849,16/05/2017,MPV 758/2016 
2121849,17/05/2017,MPV 758/2016 
2122076,26/04/2017,PL 6787/2016
2122076,26/04/2017,PL 6787/2016
2122076,26/04/2017,PL 6787/2016
2122076,26/04/2017,PL 6787/2016
2122076,26/04/2017,PL 6787/2016
2122076,26/04/2017,PL 6787/2016
2122076,27/04/2017,PL 6787/2016
